"fecha","pais","code","apoyo"
2020-03-01,"Afghanistan","AFG",0
2020-03-26,"Angola","AGO",0
2020-03-16,"Albania","ALB",0
2020-03-16,"Andorra","AND",2
2020-02-12,"United Arab Emirates","ARE",0
2020-03-16,"Argentina","ARG",0
2020-02-01,"Australia","AUS",0
2020-03-10,"Austria","AUT",0
2020-03-15,"Azerbaijan","AZE",0
2020-04-14,"Burundi","BDI",0
2020-02-16,"Belgium","BEL",0
2020-03-22,"Benin","BEN",0
2020-03-16,"Burkina Faso","BFA",0
2020-03-16,"Bangladesh","BGD",0
2020-03-16,"Bulgaria","BGR",0
2020-03-01,"Bahrain","BHR",0
2020-03-16,"Bosnia and Herzegovina","BIH",1
2020-03-13,"Belarus","BLR",0
2020-03-29,"Belize","BLZ",1
2020-03-17,"Bolivia","BOL",0
2020-03-11,"Brazil","BRA",0
2020-03-23,"Barbados","BRB",0
2020-03-16,"Brunei","BRN",0
2020-03-16,"Bhutan","BTN",0
2020-04-13,"Botswana","BWA",1
2020-03-21,"Central African Republic","CAF",1
2020-02-01,"Canada","CAN",0
2020-03-10,"Switzerland","CHE",0
2020-02-29,"Chile","CHL",0
2020-01-28,"China","CHN",0
2020-03-17,"Cote d'Ivoire","CIV",0
2020-03-16,"Cameroon","CMR",0
2020-03-16,"Colombia","COL",0
2020-03-16,"Costa Rica","CRI",0
2020-03-18,"Cuba","CUB",0
2020-03-16,"Cyprus","CYP",2
2020-02-10,"Germany","DEU",0
2020-03-24,"Djibouti","DJI",0
2020-03-28,"Dominica","DMA",0
2020-03-12,"Denmark","DNK",2
2020-03-15,"Dominican Republic","DOM",0
2020-03-10,"Algeria","DZA",0
2020-03-15,"Ecuador","ECU",0
2020-02-20,"Egypt","EGY",0
2020-03-27,"Eritrea","ERI",0
2020-02-15,"Spain","ESP",0
2020-03-12,"Estonia","EST",2
2020-03-19,"Ethiopia","ETH",0
2020-02-12,"Finland","FIN",0
2020-03-25,"Fiji","FJI",0
2020-01-30,"France","FRA",0
2020-03-20,"Gabon","GAB",0
2020-02-14,"United Kingdom","GBR",0
2020-03-11,"Georgia","GEO",0
2020-03-20,"Ghana","GHA",0
2020-03-19,"Guinea","GIN",0
2020-03-23,"Gambia","GMB",0
2020-03-11,"Greece","GRC",0
2020-03-20,"Guatemala","GTM",0
2020-03-18,"Guyana","GUY",0
2020-03-17,"Honduras","HND",0
2020-03-10,"Croatia","HRV",0
2020-03-26,"Haiti","HTI",0
2020-03-16,"Hungary","HUN",0
2020-03-16,"Indonesia","IDN",0
2020-02-13,"India","IND",0
2020-03-14,"Ireland","IRL",0
2020-02-25,"Iran","IRN",0
2020-03-01,"Iraq","IRQ",0
2020-03-13,"Iceland","ISL",0
2020-02-27,"Israel","ISR",0
2020-02-14,"Italy","ITA",0
2020-03-17,"Jamaica","JAM",0
2020-03-16,"Jordan","JOR",0
2020-01-28,"Japan","JPN",0
2020-03-19,"Kazakhstan","KAZ",1
2020-03-19,"Kenya","KEN",0
2020-02-10,"Cambodia","KHM",0
2020-03-01,"Kuwait","KWT",0
2020-03-30,"Laos","LAO",0
2020-02-27,"Lebanon","LBN",0
2020-03-22,"Liberia","LBR",0
2020-03-30,"Libya","LBY",0
2020-02-10,"Sri Lanka","LKA",0
2020-05-19,"Lesotho","LSO",0
2020-03-13,"Lithuania","LTU",0
2020-03-14,"Luxembourg","LUX",0
2020-03-16,"Latvia","LVA",2
2020-03-16,"Morocco","MAR",0
2020-03-16,"Moldova","MDA",0
2020-03-26,"Madagascar","MDG",0
2020-03-13,"Mexico","MEX",0
2020-03-31,"Mali","MLI",0
2020-03-16,"Mongolia","MNG",0
