"Code","Fecha (Dia 7 de cada pais)","Pais","Apoyo Economico","Densidad (2018)","Desempleo (% al 2019)"
"AFG",2020-03-01,"Afghanistan","Sin apoyo",56.937760009803,24
"AGO",2020-03-26,"Angola","Sin apoyo",24.7130520574316,7
"ALB",2020-03-15,"Albania","Sin apoyo",104.612262773723,14
"AND",2020-03-08,"Andorra","Sin apoyo",163.842553191489,4
"ARE",2020-02-04,"United Arab Emirates","Sin apoyo",135.609110109828,2
"ARG",2020-03-09,"Argentina","Sin apoyo",16.2585100979651,8
"AUS",2020-02-01,"Australia","Sin apoyo",3.24787091037205,6
"AUT",2020-03-02,"Austria","Sin apoyo",107.127966860564,6
"AZE",2020-03-07,"Azerbaijan","Sin apoyo",120.23431716463,5
"BDI",2020-04-06,"Burundi","Sin apoyo",435.178271028037,NA
"BEL",2020-02-10,"Belgium","Sin apoyo",377.379590488771,7
"BEN",2020-03-22,"Benin","Sin apoyo",101.853919829727,1
"BFA",2020-03-16,"Burkina Faso","Sin apoyo",72.1912828947368,77
"BGD",2020-03-14,"Bangladesh","Sin apoyo",1239.57931166936,4
"BGR",2020-03-14,"Bulgaria","Sin apoyo",64.7110998526161,6
"BHR",2020-03-01,"Bahrain","Sin apoyo",2017.27369979138,4
"BIH",2020-03-11,"Bosnia and Herzegovina","Menos del 50% del sueldo",64.92048828125,21
"BLR",2020-03-05,"Belarus","Sin apoyo",46.7195037884204,1
"BLZ",2020-03-29,"Belize","Menos del 50% del sueldo",16.7939938623411,9
"BOL",2020-03-17,"Bolivia","Sin apoyo",10.4801458506416,4
"BRA",2020-03-03,"Brazil","Sin apoyo",25.0617162430876,13
"BRB",2020-03-23,"Barbados","Sin apoyo",666.606976744186,10
"BRN",2020-03-15,"Brunei","Sin apoyo",81.3969639468691,7
"BTN",2020-03-12,"Bhutan","Sin apoyo",19.7775277714448,3
"BWA",2020-04-05,"Botswana","Menos del 50% del sueldo",3.97742487604327,20
"CAF",2020-03-21,"Central African Republic","Menos del 50% del sueldo",7.49041221227006,7
"CAN",2020-02-01,"Canada","Sin apoyo",4.07518823864492,6
"CHE",2020-03-02,"Switzerland","Sin apoyo",215.465350480429,3
"CHL",2020-02-29,"Chile","Sin apoyo",25.1894460666519,7
"CHN",2020-01-28,"China","Sin apoyo",148.348833270666,4
"CIV",2020-03-17,"Cote d'Ivoire","Sin apoyo",78.8340534591195,9
"CMR",2020-03-12,"Cameroon","Sin apoyo",53.3439889149796,4
"COL",2020-03-12,"Colombia","Sin apoyo",44.7487021180712,9
"COM",2020-05-06,"Comoros",NA,447.244477540227,7
"CRI",2020-03-12,"Costa Rica","Sin apoyo",97.9130630630631,8
"CUB",2020-03-18,"Cuba","Sin apoyo",108.999596231494,3
