"","pais","code","2018"
"1","Afghanistan","AFG",56.937760009803
"2","Albania","ALB",104.612262773723
"3","Algeria","DZA",17.7300750711665
"4","American Samoa","ASM",277.325
"5","Andorra","AND",163.842553191489
"6","Angola","AGO",24.7130520574316
"7","Antigua and Barbuda","ATG",218.831818181818
"10","Armenia","ARM",103.680224798033
"11","Aruba","ABW",588.027777777778
"12","Australia","AUS",3.24787091037205
"13","Austria","AUT",107.127966860564
"14","Azerbaijan","AZE",120.23431716463
"15","Bahamas, The","BHS",38.5254745254745
"16","Bahrain","BHR",2017.27369979138
"17","Bangladesh","BGD",1239.57931166936
"18","Barbados","BRB",666.606976744186
"19","Belarus","BLR",46.7195037884204
"20","Belgium","BEL",377.379590488771
"21","Belize","BLZ",16.7939938623411
"22","Benin","BEN",101.853919829727
"23","Bermuda","BMU",1183.70368279874
"24","Bhutan","BTN",19.7775277714448
"25","Bolivia","BOL",10.4801458506416
"26","Bosnia and Herzegovina","BIH",64.92048828125
"27","Botswana","BWA",3.97742487604327
"28","Brazil","BRA",25.0617162430876
"29","British Virgin Islands","VGB",198.68
"30","Brunei Darussalam","BRN",81.3969639468691
"31","Bulgaria","BGR",64.7110998526161
"32","Burkina Faso","BFA",72.1912828947368
"33","Burundi","BDI",435.178271028037
"34","Cabo Verde","CPV",134.929776674938
"35","Cambodia","KHM",92.0564128710628
"36","Cameroon","CMR",53.3439889149796
"37","Canada","CAN",4.07518823864492
"39","Cayman Islands","CYM",267.391666666667
"42","Chad","TCD",12.2917336404066
"43","Channel Islands","CHI",861.106093786457
"44","Chile","CHL",25.1894460666519
"45","China","CHN",148.348833270666
"46","Colombia","COL",44.7487021180712
"47","Comoros","COM",447.244477540227
"48","Congo, Dem. Rep.","COD",37.0825923557045
"49","Congo, Rep.","COG",15.3568462664715
"50","Costa Rica","CRI",97.9130630630631
"51","Cote d'Ivoire","CIV",78.8340534591195
"52","Croatia","HRV",73.0493745532523
"53","Cuba","CUB",108.999596231494
"54","Curacao","CUW",NA
"55","Cyprus","CYP",128.708333333333
"56","Czech Republic","CZE",137.657705257705
"57","Denmark","DNK",137.976565849012
"58","Djibouti","DJI",41.3684210526316
"59","Dominica","DMA",95.5
"60","Dominican Republic","DOM",219.97857586421
"65","Ecuador","ECU",68.7886817522951
"66","Egypt, Arab Rep.","EGY",98.8734692852479
"67","El Salvador","SLV",309.881467181467
"68","Equatorial Guinea","GNQ",46.6657397504456
"69","Eritrea","ERI",NA
"70","Estonia","EST",30.4112491373361
"71","Eswatini","SWZ",66.0576162790698
"72","Ethiopia","ETH",109.224559
"78","Faroe Islands","FRO",34.7399698278226
"79","Fiji","FJI",48.3570333880679
"80","Finland","FIN",18.1485472672831
"82","France","FRA",122.299437237519
"83","French Polynesia","PYF",75.8685792349727
"84","Gabon","GAB",8.22476423332169
