"pais","tasa"
"Afganistán","24"
"Albania","14"
"Alemania","4"
"Andorra","4"
"Angola","7"
"Antigua y Barbuda","11"
"Arabia Saudí","6"
"Argelia","12"
"Argentina","8"
"Armenia","19"
"Australia","6"
"Austria","6"
"Azerbaiyán","5"
"Bahamas","10"
"Bahráin","4"
"Bangladesh","4"
"Barbados","10"
"Bélgica","7"
"Belice","9"
"Benín","1"
"Bielorrusia","1"
"Birmania; Myanmar","4"
"Bolivia","4"
"Bosnia y Hercegovina","21"
"Botsuana","20"
"Brasil","13"
"Brunéi","7"
"Bulgaria","6"
"Burkina Faso","77"
"Bután","3"
"Cabo Verde","9"
"Camboya","0"
"Camerún","4"
"Canadá","6"
"Chile","7"
"China","4"
"Colombia","9"
"Comoras","7"
"Congo","36"
"Corea del Norte","26"
"Corea del Sur","4"
"Costa de Marfil","9"
"Costa Rica","8"
"Croacia","12"
"Cuba","3"
"Dinamarca","6"
"Dominica","23"
"Ecuador","5"
"Egipto","12"
"El Salvador","7"
"Emiratos Árabes Unidos","2"
"Eritrea","6"
"Eslovaquia","8"
"Eslovenia","7"
"España","17"
"Estados Unidos","4"
"Estonia","6"
"Etiopía","18"
"Filipinas","6"
"Finlandia","9"
"Fiyi","5"
"Francia","9"
"Gabón","28"
"Georgia","12"
"Ghana","12"
"Granada","24"
"Grecia","22"
"Groenlandia","9"
"Guatemala","2"
"Guinea","3"
"Guinea Ecuatorial","9"
"Guyana","11"
"Haití","41"
"Honduras","6"
"Hong Kong","3"
"Hungría","4"
"India","9"
"Indonesia","5"
"Irán","12"
"Iraq","16"
"Irlanda","7"
"Islandia","3"
"Islas Caimán","4"
"Islas Malvinas","1"
"Israel","4"
"Italia","11"
"Jamaica","12"
"Japón","3"
"Jordania","18"
"Kazajistán","5"
"Kenia","40"
"Kirguizistán","7"
"Kiribati","31"
"Kuwait","1"
"Laos","1"
"Lesoto","28"
"Letonia","9"
"Líbano","10"
"Liberia","3"
"Libia","30"
"Liechtenstein","2"
"Lituania","7"
"Luxemburgo","6"
"Macao","2"
"Macedonia","22"
"Madagascar","2"
"Malasia","3"
"Malaui","20"
"Malí","8"
"Malta","5"
"Marruecos","10"
"Mauricio","7"
"Mauritania","10"
"México","3"
"Moldavia","4"
"Mónaco","2"
"Mongolia","8"
"Montenegro","16"
"Mozambique","25"
"Namibia","34"
"Nauru","23"
"Nepal","3"
"Nicaragua","6"
"Níger","0"
"Nigeria","17"
"Noruega","4"
"Nueva Caledonia","15"
"Nueva Zelanda","5"
"Países Bajos","5"
"Pakistán","6"
"Palaos","2"
"Panamá","6"
"Papúa-Nueva Guinea","3"
"Paraguay","6"
"Perú","7"
"Polonia","5"
"Portugal","9"
"Puerto Rico","11"
"Qatar","9"
"Reino Unido","4"
"República Centroafricana","7"
"República Checa","3"
"República Dominicana","5"
"Ruanda","3"
"Rumania","5"
"Rusia","5"
"Samoa","5"
"San Cristóbal y Nieves","5"
"San Marino","8"
"San Vicente y las Granadinas","19"
"Santa Lucía","20"
"Santo Tomé y Príncipe","12"
"Senegal","48"
"Serbia","14"
"Seychelles","3"
"Sierra Leona","15"
"Singapur","2"
"Siria","50"
"Sri Lanka","4"
"Suazilandia","28"
"Sudáfrica","28"
"Sudán","20"
"Suecia","7"
"Suiza","3"
"Surinam","9"
"Tailandia","1"
"Taiwán","4"
"Tanzania","10"
"Tayikistán","2"
"Timor Oriental","4"
"Togo","7"
"Tonga","1"
"Trinidad y Tobago","5"
"Túnez","16"
"Turkmenistán","11"
"Turquía","11"
"Ucrania","9"
"Uganda","9"
"Uruguay","8"
"Uzbekistán","5"
"Vanuatu","2"
"Venezuela","27"
"Vietnam","2"
"Yemen","27"
"Yibuti","40"
"Zambia","15"
"Zimbabue","11"
